0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"1","","","62","","P","Stimpson","(50)","","J","Barclay","(16)","","Madingley 2","12-Jun",,
"","","","","","","","","","","","","","","",,
"2","","","64","","P","Stockton","(21)","","J","Curry","(74)","","Longstowe","14-Aug",,
"","","","","","","","","","","","","","","",,
"3","","","37","","A","Dean","(37)","","J","Barclay","(11)","","Harlton","17-Jul",,
"","","","","","","","","","","","","","","",,
"4","","","101","","J","Neal","(71)","","P","Orvis","(32)","","Milton","07-Aug",,
"","","","","","","","","","","","","","","",,
"5","","","64","","J","Neal","(38)","","P","Orvis","(18)","","Madingley 2","28-Aug",,
"","","","","","","","","","","","","","","",,
"6","","","20","","J","Curry","(16)","","T","Page","(10)","","Comberton","01-May",,
"","","","","","","","","","","","","","","",,
"7","","","27*","","A","Dean","(17*)","","S","Gardiner","(8*)","","Cambourne 3","05-Jun",,
"","","","","","","","","","","","","","","",,
"8","","","34","","J","Curry","(34*)","","S","Connor","(9)","","Cambridge Nci 3","24-Jul",,
"","","","","","","","","","","","","","","",,
"9","","","11*","","J","Williams","(8*)","","D","Underhay","(0*)","","Longstowe","14-Aug",,
"","","","","","","","","","","","","","","",,
"10","","","3","","J","Haque","(10)","","B","Driver","(1*)","","Cambourne 3","26-Jun",,
