Rank,Player,Matches,Overs,Mdn,Wkt,Runs,Best,Ave
0,R Page,177,1484.1,298,289,4534,9--41,15.69,
0,M Cullum,169,1093.2,169,234,3702,6--19,15.82,
0,A Dean,148,1019.4,195,232,3318,5--25,14.30,
0,P Walmsley,148,1254.5,217,230,3656,5--2,15.90,
0,M Haslop,217,821.3,83,208,3717,6--13,17.87,
0,P Lemon,154,855.1,121,199,2741,6--21,13.77,
0,B Driver,163,842.3,93,198,3736,7--12,18.87,
0,P Orvis,118,924.4,174,186,3035,5--16,16.32,
0,S Stanford,118,722.4,107,181,2452,7--14,13.55,
0,S Wilson,140,617.3,93,167,2249,6--11,13.47,
0,D Rush,78,566.5,96,135,1808,5--23,13.39,
0,S Holt,85,609.0,93,121,2179,5--23,18.01,
0,S English,83,559.2,108,120,1728,7--22,14.4,
0,S Williams,111,583.2,108,116,2024,6--20,17.45,
0,D Cornwell,55,446.3,81,111,1369,6--27,12.33,
0,J Cotton,78,473.3,75,100,1591,6--28,15.91,
